Param: rdm.Lap.kernel                                     | Grad Mean: 0.002697603311390 | Grad Std: 0.004479050170630
Param: rdm.se0.conv1.conv2d.weight                        | Grad Mean: 0.000332306110067 | Grad Std: 0.001166279311292
Param: rdm.se0.conv1.norm.weight                          | Grad Mean: 0.000044205073209 | Grad Std: 0.000699947180692
Param: rdm.se0.conv1.norm.bias                            | Grad Mean: 0.000059000594774 | Grad Std: 0.000511261867359
Param: rdm.se0.conv2.conv2d.weight                        | Grad Mean: 0.000174557804712 | Grad Std: 0.000754391017836
Param: rdm.se0.conv2.norm.weight                          | Grad Mean: 0.000101196550531 | Grad Std: 0.000385854480555
Param: rdm.se0.conv2.norm.bias                            | Grad Mean: -0.000026884283216 | Grad Std: 0.000029471233574
Param: rdm.se0.se_layer.se.0.weight                       | Grad Mean: 0.000000513724672 | Grad Std: 0.000033414042264
Param: rdm.se0.se_layer.se.0.bias                         | Grad Mean: 0.000003510039733 | Grad Std: 0.000029637185435
Param: rdm.se0.se_layer.se.2.weight                       | Grad Mean: 0.000007528045444 | Grad Std: 0.000026964255085
Param: rdm.se0.se_layer.se.2.bias                         | Grad Mean: 0.000041920036892 | Grad Std: 0.000158188675414
Param: rdm.se1.conv1.conv2d.weight                        | Grad Mean: 0.000361687183613 | Grad Std: 0.000504511350300
Param: rdm.se1.conv1.norm.weight                          | Grad Mean: 0.000034318909456 | Grad Std: 0.000344932661392
Param: rdm.se1.conv1.norm.bias                            | Grad Mean: -0.000040624174289 | Grad Std: 0.000264873873675
Param: rdm.se1.conv2.conv2d.weight                        | Grad Mean: 0.000102154037450 | Grad Std: 0.000400672463002
Param: rdm.se1.conv2.norm.weight                          | Grad Mean: 0.000301707972540 | Grad Std: 0.000390951463487
Param: rdm.se1.conv2.norm.bias                            | Grad Mean: -0.000001737147045 | Grad Std: 0.000078217271948
Param: rdm.se1.se_layer.se.0.weight                       | Grad Mean: 0.000004714976512 | Grad Std: 0.000067183194915
Param: rdm.se1.se_layer.se.0.bias                         | Grad Mean: -0.000106138613774 | Grad Std: 0.000027224308724
Param: rdm.se1.se_layer.se.2.weight                       | Grad Mean: -0.000003341129968 | Grad Std: 0.000030947187042
Param: rdm.se1.se_layer.se.2.bias                         | Grad Mean: 0.000134647882078 | Grad Std: 0.000153962362674
Param: rdm.se2.conv1.conv2d.weight                        | Grad Mean: -0.000065813561378 | Grad Std: 0.000387651438359
Param: rdm.se2.conv1.norm.weight                          | Grad Mean: 0.000064492123784 | Grad Std: 0.000232185891946
Param: rdm.se2.conv1.norm.bias                            | Grad Mean: -0.000076401833212 | Grad Std: 0.000217709486606
Param: rdm.se2.conv2.conv2d.weight                        | Grad Mean: 0.000061799473769 | Grad Std: 0.000274662568700
Param: rdm.se2.conv2.norm.weight                          | Grad Mean: 0.000348813598976 | Grad Std: 0.000235570143559
